Time,Temperature,Humidity,Vbat
1704329547,21.79,58.24,3030
1704331348,21.34,60.04,3021
1704333149,21.01,61.1,3029
1704334945,20.85,62.61,3037
1704336752,20.8,63.57,3044
1704338553,20.8,64.48,3052
1704340354,20.75,65.84,3050
1704342155,20.62,66.71,3046
1704343956,20.58,67.43,3043
1704345757,20.57,67.68,3043
1704347558,20.53,67.86,3042
1704349354,20.49,68.19,3042
1704351161,20.43,68.96,3041
1704352962,20.43,68.91,3041
1704354763,20.41,68.88,3040
1704356564,20.35,69.53,3040
1704358365,20.26,69.61,3039
1704360161,20.24,69.95,3039
1704361967,19.03,58.41,3037
1704363769,19.71,55.56,3022
1704365570,21.63,55.25,3002
1704367371,22.02,54.93,2983
1704369172,22.19,54.47,2977
1704370973,22.34,54.41,2987
1704372774,22.18,54.58,3006
1704374575,22,53.98,3026
1704376377,21.96,53.88,3037
1704378178,21.95,53.44,3040
1704379974,22,53.98,3041
1704381780,22.17,55.03,3042
1704383581,22.23,55.32,3042
1704385285,20.61,45.81,3036
1704387088,20.21,45.87,3021
1704388884,21.99,48.76,3009
1704390690,22.19,50.1,3009
1704392491,22.32,51.38,3012
1704394288,22.32,51.92,3025
1704396094,22.4,52.27,3044
1704397895,22.27,52.43,3055
1704399696,22.05,52.53,3063
1704401492,21.88,52.93,3072
1704403298,21.65,53.32,3078
1704405099,22.04,53.94,3078
1704406900,23.35,53.13,3078
1704408702,21.99,45.84,3073
1704410503,22.63,49.01,3068
1704412299,22.39,51.9,3063
1704414105,21.92,54.98,3057
1704415901,21.48,57.35,3051
1704417707,21.14,59.35,3046
1704419508,20.88,60.27,3033
1704421309,20.64,61.53,3022
1704423111,20.59,63.08,3018
1704424912,20.56,63.7,3016
1704426713,20.53,64.62,3022
1704428514,20.48,64.96,3026
1704430315,20.4,65.15,3027
1704432116,20.37,65.65,3025
1704433917,20.34,65.95,3022
1704435718,20.35,65.99,3019
1704437519,20.39,66.2,3016
1704439321,20.28,66.56,3015
1704441122,20.21,66.99,3015
1704442923,20.18,67.25,3014
1704444719,20.12,67.19,3013
1704446525,20.1,67.69,3013
1704448326,20.19,67.43,3012
1704450128,19.82,58.14,3007
1704451929,20.96,55,3002
1704453730,21.59,54.03,3003
1704455531,21.73,53.08,2992
1704457256,20.87,49.13,2986
1704459059,21.77,52.06,2993
1704460865,22,52.97,2986
1704462667,21.39,51.95,2998
