Time,Temperature,Humidity,Vbat
1726967913,23.53,62.91,2865
1726969715,23.49,62.95,2865
1726971517,23.43,63,2864
1726973320,23.39,63.01,2864
1726975119,23.34,62.96,2863
1726976922,23.28,62.94,2863
1726978726,23.23,62.9,2862
1726980529,23.19,62.84,2861
1726982331,23.15,62.79,2861
1726984133,23.1,62.75,2861
1726985933,23.05,62.69,2860
1726987738,23,62.63,2862
1726989540,22.95,62.57,2862
1726991342,22.9,62.5,2862
1726993144,22.87,62.44,2862
1726994947,22.84,62.35,2862
1726996749,22.85,62.4,2861
1726998549,22.9,62.55,2860
1727000353,22.97,62.33,2860
1727002156,23.18,62.1,2862
1727003958,23.37,61.98,2863
1727005760,23.52,61.28,2864
1727007563,23.63,60.98,2864
1727009365,23.73,60.84,2865
1727011167,23.95,61.34,2866
1727012969,24.14,61.53,2867
1727014771,24.24,61.45,2868
1727016574,24.35,61.74,2868
1727018374,24.43,61.61,2870
1727020178,24.43,61.86,2871
1727021978,24.44,61.94,2872
1727023783,24.43,61.9,2871
1727025585,24.39,61.96,2871
1727027387,24.35,61.99,2870
1727029190,24.31,62.03,2870
1727030992,24.27,62.09,2870
1727032794,24.22,62.24,2870
1727034596,24.18,62.34,2871
1727036399,24.12,62.42,2870
1727038198,24.07,62.52,2869
1727040003,24.01,62.66,2868
1727041805,23.96,62.62,2869
1727043605,23.67,61.56,2869
1727044955,24.13,60.92,2867
1727046754,24.7,60.66,2868
1727048559,24.93,60.61,2870
1727050361,24.49,61.84,2873
1727052164,24.25,62.74,2873
1727053966,24.16,63.41,2871
1727055768,24.1,64.32,2870
1727057570,24.04,64.95,2869
1727059373,24,65.54,2868
1727061175,23.98,65.99,2868
1727062975,23.96,66.11,2868
1727064779,23.93,66.23,2868
1727066582,23.91,66.67,2867
1727068381,23.91,67.09,2868
1727070186,23.89,67.04,2868
1727071988,23.88,67.23,2868
1727073790,23.86,67.34,2868
1727075593,23.84,67.24,2867
1727077395,23.82,67.24,2866
1727079197,23.82,67.32,2866
1727080999,23.81,67.45,2866
1727082802,23.84,67.73,2867
1727084604,24.06,67.54,2867
1727086406,24.25,67.35,2867
1727088206,24.41,67.82,2868
1727090011,24.51,67.35,2869
1727091813,24.47,65.87,2870
1727093613,24.68,65.6,2870
1727095418,24.59,65.65,2871
1727097220,24.52,65.47,2872
1727099022,24.44,65.32,2871
1727100824,24.37,65.26,2870
1727102627,24.33,65.19,2870
1727104429,24.3,65.11,2870
1727106231,24.25,65.11,2871
1727108033,24.22,65.26,2870
1727109833,24.2,65.23,2870
1727111638,24.18,65.18,2870
1727113440,24.14,65.1,2870
1727115242,24.09,65.05,2869
1727117045,24.04,64.95,2869
1727118847,23.99,64.56,2869
1727120649,23.94,64.36,2869
1727122451,23.92,65.18,2868
1727124254,23.95,65.47,2868
1727126053,23.73,64.08,2868
1727127858,23.61,63.17,2867
1727129660,23.16,61.96,2867
1727131463,24.07,61.29,2867
1727133265,24.35,61.49,2869
1727135067,24.51,61.66,2870
1727136869,24.65,61.65,2872
1727138671,24.67,61.71,2873
1727140474,24.6,62.06,2873
1727142276,24.18,63.19,2872
1727144078,23.95,63.79,2871
1727145880,23.84,64.46,2870
1727147683,23.74,65.1,2868
1727149485,23.68,65.3,2867
1727151287,23.65,65.63,2867
1727153087,23.62,66.09,2867
1727154892,23.59,66.2,2866
1727156694,23.56,66.12,2866
1727158496,23.52,66.13,2865
1727160298,23.48,66.26,2865
1727162101,23.46,66.62,2865
1727163903,23.45,66.84,2865
1727165705,23.44,66.97,2864
1727167507,23.46,66.99,2864
1727169307,23.5,66.97,2865
1727171112,23.7,66.55,2865
1727172914,23.66,66.73,2866
1727174716,23.26,63.42,2866
1727176519,22.38,59.77,2864
1727178321,22.78,60.32,2861
1727180123,23.04,60.48,2860
1727181925,23.18,60.63,2860
1727183728,23.31,60.54,2862
1727185527,23.51,60.62,2863
1727187332,23.65,59.77,2864
1727189134,23.73,59.14,2865
1727190937,23.86,59.07,2866
1727192739,23.93,59.13,2866
1727194541,23.98,58.96,2867
1727196344,23.97,58.4,2868
1727198143,23.95,58.17,2867
1727199948,23.93,57.91,2867
1727201748,23.51,53.07,2866
1727203553,22.76,49.4,2865
1727205352,22.64,50.2,2862
1727207157,22.74,50.3,2859
1727208959,22.8,51.98,2858
1727210762,22.75,52.19,2859
1727212564,23.14,52.62,2859
1727214366,23.89,52.93,2861
1727216168,24.07,53.62,2865
1727217970,24.18,53.98,2868
1727219773,24.25,54.36,2870
1727221575,24.24,54.84,2870
1727223377,24.17,55.25,2869
1727225180,23.89,55.68,2869
1727226982,23.5,56.57,2867
1727228784,23.31,57.51,2865
1727230586,23.24,58.31,2864
1727232389,23.19,58.9,2863
1727234191,23.15,59.68,2862
1727235993,23.11,60,2861
1727237795,23.08,60.38,2861
1727239598,23.03,60.46,2860
1727241400,23,60.86,2860
1727243202,22.96,60.91,2859
1727245005,22.93,60.91,2859
1727246807,22.91,61.24,2859
1727248607,22.89,61.96,2859
1727250412,22.86,62.37,2860
1727252214,22.85,62.58,2860
1727254016,22.86,62.71,2860
1727255818,22.93,62.91,2859
1727257621,23,62.53,2858
1727259423,21.84,57.92,2858
1727261223,20.93,56.34,2855
1727263027,22.03,57.28,2852
1727264830,22.93,57.31,2852
1727266632,23,57.07,2857
1727268434,23.37,56.88,2859
1727270236,23.65,56.71,2862
1727272039,23.82,56.84,2863
1727273841,24.36,56.32,2866
1727275643,24.34,57.03,2868
1727277445,24.06,57.85,2868
1727279248,23.94,58.43,2867
1727281050,23.95,58.93,2865
1727282852,23.94,59.8,2865
1727284654,23.92,60.27,2866
1727286457,23.76,57.09,2866
1727288259,23.52,55.72,2866
1727290059,23.37,54.81,2864
1727291863,23.28,54.52,2863
1727293666,23.81,54.59,2862
1727295465,24.26,54.61,2865
1727297270,24.36,55.33,2868
1727299072,24.39,55.6,2870
1727300875,23.92,52.04,2869
1727302674,23.89,52.42,2868
1727304477,23.79,53.19,2867
1727306281,23.65,53.86,2866
1727308084,23.48,55.11,2864
1727309886,23.4,56.24,2863
1727311688,23.39,57.2,2863
1727313490,23.42,57.83,2863
1727315293,23.34,58.44,2863
1727317095,23.28,58.9,2862
1727318897,23.23,59.87,2861
1727320697,23.21,60.65,2861
1727322502,23.19,60.93,2861
1727324304,23.15,61.3,2862
1727326106,23.12,61.64,2862
1727327908,23.11,61.87,2862
1727329711,23.08,61.99,2862
1727331513,23.05,61.95,2862
1727333315,23.03,61.78,2863
1727335118,22.96,61.04,2862
1727336920,22.93,60.71,2860
1727338722,22.78,60.45,2859
1727340524,22.69,60.6,2859
1727342327,22.7,60.47,2858
1727344126,22.69,60.46,2858
1727345931,22.68,60.47,2857
1727347733,22.67,60.49,2857
1727349536,22.67,60.54,2856
1727351338,22.69,60.47,2857
1727353138,22.71,60.57,2857
1727354943,22.7,60.59,2856
1727356745,22.7,60.57,2856
1727358547,22.71,61.03,2856
1727360349,22.71,61.19,2856
1727362151,22.71,61.26,2856
1727363954,22.72,61.3,2857
1727365756,22.72,61.46,2857
1727367558,22.72,61.76,2856
1727369360,22.71,61.77,2855
1727371163,22.69,61.75,2855
1727372965,22.69,61.63,2856
1727374767,22.67,61.77,2856
1727376567,22.66,61.88,2855
1727378372,22.6,61.77,2856
1727380174,22.55,61.77,2855
1727381976,22.51,61.74,2855
1727383778,22.46,61.67,2854
1727385581,22.44,61.9,2854
1727387380,22.48,62.38,2854
1727389185,22.88,62.12,2855
1727390987,22.7,62.49,2856
